epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,20.9314,1.64295,15.8826,1.38471,0.33946,0.41515,0.40376,0.23264,1.43799,14.7422,1.26453,0.000546704,0.000546704,0.000546704
2,37.8989,1.43819,8.69451,1.27355,0.62474,0.47784,0.50036,0.28315,1.43847,7.00347,1.34895,0.00108054,0.00108054,0.00108054
3,54.5172,1.46934,8.243,1.31822,0.95354,0.45253,0.47078,0.28416,1.36564,9.89121,1.34798,0.00159238,0.00159238,0.00159238
4,71.4676,1.5819,9.29212,1.36935,0.862,0.40808,0.41799,0.2109,1.56417,10.1561,1.48175,0.00156798,0.00156798,0.00156798
5,87.6583,1.74612,12.2384,1.48735,0.94502,0.41696,0.49554,0.26316,1.44101,9.29029,1.29795,0.00153497,0.00153497,0.00153497
6,103.937,1.50175,9.01621,1.3514,0.64076,0.51617,0.54082,0.30325,1.4568,7.45302,1.4034,0.00150197,0.00150197,0.00150197
7,119.956,1.46098,8.15601,1.31382,0.66088,0.49916,0.50479,0.28022,1.44315,7.08793,1.35079,0.00146896,0.00146896,0.00146896
8,135.829,1.43879,7.23657,1.3245,0.94389,0.47946,0.55224,0.30058,1.4308,6.63742,1.352,0.00143595,0.00143595,0.00143595
9,151.739,1.47734,6.76338,1.34091,0.63909,0.56263,0.60293,0.32432,1.38496,6.35532,1.38498,0.00140295,0.00140295,0.00140295
10,167.651,1.46251,6.75407,1.3516,0.55377,0.62323,0.59071,0.3254,1.42608,6.32161,1.31953,0.00136994,0.00136994,0.00136994
11,183.591,1.50156,6.89631,1.33334,0.5362,0.61808,0.58224,0.3202,1.39775,6.24602,1.3357,0.00133693,0.00133693,0.00133693
12,199.457,1.4587,6.64006,1.33686,0.51864,0.64545,0.61305,0.33402,1.34132,6.12793,1.32503,0.00130393,0.00130393,0.00130393
13,215.388,1.34144,6.08382,1.25156,0.67279,0.67172,0.66062,0.34678,1.25959,5.43265,1.26037,0.00127092,0.00127092,0.00127092
14,231.284,1.33049,5.96268,1.28539,0.56069,0.59596,0.58719,0.32667,1.36814,5.55601,1.29415,0.00123791,0.00123791,0.00123791
15,247.125,1.31789,5.76299,1.25444,0.58346,0.65859,0.63023,0.35377,1.26295,5.20255,1.24955,0.00120491,0.00120491,0.00120491
16,263.001,1.26149,5.57449,1.21013,0.8262,0.61401,0.66257,0.37497,1.26215,5.05033,1.23915,0.0011719,0.0011719,0.0011719
17,278.942,1.28102,5.37022,1.19772,0.7121,0.68426,0.68794,0.3993,1.23981,5.00673,1.23008,0.00113889,0.00113889,0.00113889
18,294.903,1.26748,5.28043,1.19785,0.70096,0.62626,0.66142,0.35079,1.37581,5.3947,1.31959,0.00110589,0.00110589,0.00110589
19,310.805,1.30946,5.39106,1.2196,0.6536,0.70707,0.65336,0.35341,1.26196,5.30379,1.2536,0.00107288,0.00107288,0.00107288
20,326.751,1.24837,5.30832,1.19798,0.76557,0.68788,0.70604,0.38221,1.22139,4.7382,1.21858,0.00103987,0.00103987,0.00103987
21,342.767,1.26188,5.24474,1.22113,0.83394,0.68788,0.72321,0.38876,1.21818,4.86857,1.20697,0.00100687,0.00100687,0.00100687
22,358.69,1.23589,5.11111,1.1908,0.66594,0.65758,0.61356,0.35646,1.21594,4.89947,1.22071,0.000973861,0.000973861,0.000973861
23,374.603,1.20258,5.01632,1.16068,0.73776,0.67071,0.67132,0.37438,1.22999,4.74977,1.22688,0.000940855,0.000940855,0.000940855
24,390.525,1.21437,4.94402,1.18637,0.73585,0.71818,0.70188,0.38187,1.23957,4.64283,1.2104,0.000907848,0.000907848,0.000907848
25,406.427,1.18275,4.90117,1.17772,0.78803,0.71515,0.72958,0.39224,1.18377,4.71774,1.20873,0.000874842,0.000874842,0.000874842
26,422.337,1.20143,4.98113,1.17519,0.72274,0.6588,0.67698,0.39136,1.18733,4.69534,1.20511,0.000841835,0.000841835,0.000841835
27,438.247,1.1676,4.72888,1.14319,0.85877,0.68788,0.73289,0.39987,1.20701,4.52745,1.21192,0.000808828,0.000808828,0.000808828
28,454.203,1.1452,4.65435,1.13687,0.77275,0.73232,0.74419,0.40351,1.17667,4.51801,1.19868,0.000775822,0.000775822,0.000775822
29,470.2,1.15416,4.57618,1.1334,0.85435,0.6582,0.72226,0.40581,1.16542,4.43249,1.18772,0.000742815,0.000742815,0.000742815
30,486.16,1.14779,4.62778,1.13317,0.84145,0.74442,0.76351,0.41253,1.17996,4.57515,1.20448,0.000709809,0.000709809,0.000709809
31,502.106,1.17797,4.67578,1.14021,0.84885,0.68889,0.75749,0.41881,1.15297,4.41991,1.17644,0.000676802,0.000676802,0.000676802
32,518.075,1.1427,4.52241,1.14759,0.84062,0.7,0.74635,0.40972,1.15476,4.28244,1.17429,0.000643795,0.000643795,0.000643795
33,534.043,1.13867,4.56882,1.13055,0.75272,0.70303,0.71245,0.39994,1.20123,4.54324,1.21096,0.000610789,0.000610789,0.000610789
34,549.932,1.14521,4.42588,1.13725,0.78773,0.7101,0.69856,0.40486,1.14105,4.29409,1.16146,0.000577782,0.000577782,0.000577782
35,565.841,1.13087,4.49146,1.14895,0.93345,0.69697,0.77962,0.4305,1.11731,4.17731,1.15481,0.000544776,0.000544776,0.000544776
36,581.791,1.10797,4.385,1.12132,0.86697,0.72727,0.76547,0.41209,1.13974,4.16411,1.16652,0.000511769,0.000511769,0.000511769
37,597.688,1.09513,4.29045,1.1254,0.80789,0.72828,0.75158,0.42154,1.1562,4.23075,1.16284,0.000478762,0.000478762,0.000478762
38,613.664,1.07415,4.2431,1.10883,0.75105,0.74949,0.74465,0.43497,1.12395,4.21686,1.16168,0.000445756,0.000445756,0.000445756
39,630.281,1.08415,4.25932,1.12145,0.83094,0.72751,0.76142,0.44605,1.13687,4.16494,1.15956,0.000412749,0.000412749,0.000412749
40,647.074,1.09683,4.22284,1.11979,0.8878,0.7055,0.76677,0.43958,1.14899,4.15998,1.16871,0.000379743,0.000379743,0.000379743
41,665.84,1.06462,4.04251,1.11877,0.84451,0.74601,0.76549,0.43128,1.14094,4.13204,1.1597,0.000346736,0.000346736,0.000346736
42,682.343,1.04808,3.95716,1.08938,0.82461,0.7303,0.76387,0.43369,1.13235,4.06879,1.16314,0.000313729,0.000313729,0.000313729
43,698.803,1.03013,3.90926,1.11621,0.87534,0.6878,0.76405,0.44561,1.12304,3.92412,1.15499,0.000280723,0.000280723,0.000280723
44,715.209,1.03822,3.86052,1.10281,0.85988,0.71515,0.75598,0.44829,1.12859,4.00861,1.16159,0.000247716,0.000247716,0.000247716
45,731.642,1.03777,3.87869,1.10869,0.82247,0.71447,0.75342,0.44458,1.11487,3.89847,1.14828,0.00021471,0.00021471,0.00021471
46,748.031,1.00753,3.72146,1.09308,0.78682,0.73535,0.7694,0.44871,1.11062,3.96401,1.15276,0.000181703,0.000181703,0.000181703
47,764.446,1.01456,3.73811,1.09185,0.82342,0.76667,0.77281,0.44468,1.1172,3.93802,1.14587,0.000148696,0.000148696,0.000148696
48,780.827,0.9834,3.6114,1.0925,0.83743,0.76566,0.79088,0.45229,1.10636,3.84516,1.14071,0.00011569,0.00011569,0.00011569
