epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.3728,1.89386,13.7118,1.61351,0.16492,0.36345,0.14978,0.07124,1.6247,10.0504,1.48137,0.000545377,0.000545377,0.000545377
2,31.362,1.64393,7.41018,1.44374,0.39246,0.37096,0.4153,0.22411,1.60744,7.01114,1.55824,0.00107924,0.00107924,0.00107924
3,46.1904,1.64581,7.30092,1.47077,0.28626,0.36345,0.36293,0.16063,1.75352,7.28591,1.71968,0.0015911,0.0015911,0.0015911
4,61.1751,1.80081,7.74244,1.56964,0.37697,0.34908,0.37793,0.17333,1.87506,6.89345,1.74057,0.00156798,0.00156798,0.00156798
5,76.0387,1.7298,7.39481,1.48134,0.43045,0.39397,0.43378,0.22522,1.53002,5.92907,1.46842,0.00153497,0.00153497,0.00153497
6,90.9971,1.58627,6.50309,1.44267,0.41998,0.47902,0.46529,0.25502,1.45254,5.38296,1.4351,0.00150197,0.00150197,0.00150197
7,106.245,1.5929,6.53082,1.46741,0.43687,0.44049,0.46335,0.26432,1.4207,4.87821,1.43137,0.00146896,0.00146896,0.00146896
8,121.397,1.52635,6.10626,1.38908,0.42874,0.44251,0.46346,0.26244,1.46974,5.15104,1.40532,0.00143595,0.00143595,0.00143595
9,136.205,1.59094,6.36691,1.38159,0.42661,0.42969,0.45503,0.23966,1.41874,5.31622,1.38215,0.00140295,0.00140295,0.00140295
10,151.096,1.5209,5.93065,1.38945,0.93209,0.43767,0.45007,0.25094,1.4322,4.73042,1.38407,0.00136994,0.00136994,0.00136994
11,165.781,1.48483,5.768,1.3989,0.4261,0.483,0.45327,0.25982,1.37554,4.99555,1.38421,0.00133693,0.00133693,0.00133693
12,180.515,1.47489,5.61521,1.34945,0.45953,0.50706,0.47344,0.27313,1.34418,4.70674,1.38947,0.00130393,0.00130393,0.00130393
13,195.322,1.40889,5.40184,1.30684,0.44166,0.45859,0.48065,0.28109,1.37312,4.25301,1.37717,0.00127092,0.00127092,0.00127092
14,210.154,1.48272,5.30545,1.33254,0.4409,0.45893,0.47042,0.24882,1.49014,4.65119,1.45484,0.00123791,0.00123791,0.00123791
15,225.009,1.49262,5.31839,1.3776,0.4249,0.44725,0.45543,0.25646,1.31731,4.23675,1.3774,0.00120491,0.00120491,0.00120491
16,239.65,1.40211,5.63299,1.36711,0.41906,0.43018,0.45073,0.25023,1.41988,4.47621,1.41459,0.0011719,0.0011719,0.0011719
17,254.365,1.37908,5.208,1.34366,0.45334,0.46942,0.48085,0.28745,1.32185,4.59285,1.39074,0.00113889,0.00113889,0.00113889
18,269.243,1.38308,5.11749,1.33302,0.43332,0.46407,0.48172,0.29295,1.32116,4.2729,1.34644,0.00110589,0.00110589,0.00110589
19,284.026,1.31987,5.14052,1.28675,0.43845,0.49304,0.48734,0.29995,1.28539,3.92272,1.33085,0.00107288,0.00107288,0.00107288
20,298.766,1.30742,4.89509,1.25765,0.45328,0.46819,0.47644,0.28911,1.29071,4.43651,1.32199,0.00103987,0.00103987,0.00103987
21,313.467,1.34061,4.88385,1.25591,0.43937,0.47617,0.48154,0.28706,1.29984,4.32544,1.33547,0.00100687,0.00100687,0.00100687
22,328.143,1.29202,4.80752,1.23276,0.45431,0.46407,0.48593,0.29089,1.34059,4.10632,1.40727,0.000973861,0.000973861,0.000973861
23,342.795,1.31821,4.81185,1.27939,0.45424,0.47557,0.48306,0.29515,1.29835,4.55502,1.31468,0.000940855,0.000940855,0.000940855
24,357.343,1.30485,4.78323,1.26382,0.45373,0.48893,0.4858,0.28727,1.35147,4.26177,1.32527,0.000907848,0.000907848,0.000907848
25,371.931,1.32436,4.8326,1.29342,0.44436,0.5138,0.48118,0.2885,1.30091,4.0305,1.34565,0.000874842,0.000874842,0.000874842
26,386.534,1.33973,4.73918,1.26183,0.46003,0.46509,0.48443,0.29513,1.29134,3.81,1.33685,0.000841835,0.000841835,0.000841835
27,401.191,1.28706,4.78094,1.25596,0.44891,0.46304,0.48081,0.29855,1.25281,3.97144,1.32623,0.000808828,0.000808828,0.000808828
28,416.13,1.27402,4.61203,1.24812,0.45669,0.60139,0.49001,0.30273,1.25139,3.97503,1.29892,0.000775822,0.000775822,0.000775822
29,430.985,1.26221,4.76237,1.26542,0.45545,0.62214,0.48716,0.30385,1.26045,4.16552,1.30316,0.000742815,0.000742815,0.000742815
30,445.72,1.23967,4.56649,1.23117,0.4577,0.53786,0.48583,0.30582,1.24341,3.86186,1.3002,0.000709809,0.000709809,0.000709809
31,460.434,1.24989,4.58099,1.23555,0.46739,0.48274,0.48593,0.30477,1.23461,3.71138,1.31359,0.000676802,0.000676802,0.000676802
32,475.158,1.21105,4.48906,1.21127,0.47154,0.52041,0.48448,0.30123,1.2256,3.89871,1.30524,0.000643795,0.000643795,0.000643795
33,490.106,1.1991,4.47523,1.20311,0.45143,0.5559,0.48835,0.30626,1.20636,3.93398,1.28227,0.000610789,0.000610789,0.000610789
34,504.85,1.19646,4.37706,1.22198,0.49759,0.50146,0.50389,0.31858,1.21584,3.64041,1.26953,0.000577782,0.000577782,0.000577782
35,519.732,1.19591,4.43669,1.21192,0.46743,0.52839,0.49558,0.31497,1.18455,3.65404,1.2766,0.000544776,0.000544776,0.000544776
36,534.369,1.16043,4.37485,1.19194,0.4587,0.60857,0.49544,0.31154,1.16716,3.81223,1.26585,0.000511769,0.000511769,0.000511769
37,548.963,1.18739,4.37523,1.19563,0.46086,0.65764,0.49116,0.31053,1.19083,4.11085,1.27721,0.000478762,0.000478762,0.000478762
38,563.567,1.20317,4.29038,1.21792,0.46962,0.63446,0.4955,0.308,1.19132,4.0076,1.28718,0.000445756,0.000445756,0.000445756
39,578.202,1.14701,4.30224,1.16856,0.46551,0.66286,0.49098,0.31364,1.18873,3.89544,1.26325,0.000412749,0.000412749,0.000412749
40,592.833,1.1505,4.34318,1.17321,0.48548,0.58291,0.50311,0.30952,1.18706,3.87416,1.25444,0.000379743,0.000379743,0.000379743
