frame,cam_id,class_id,object_id,u,v,w,h
4,cam_1,0,-1,1166.5,1579.0,41,26
4,cam_1,0,-1,1099.5,1385.5,17,29
4,cam_1,0,-1,1100.5,1354.5,13,15
4,cam_1,0,-1,2447.0,1333.0,12,14
4,cam_1,0,-1,1147.5,1321.0,17,14
4,cam_1,0,-1,1132.0,1260.0,36,32
4,cam_1,0,-1,2124.5,1144.0,27,54
4,cam_1,0,-1,2199.0,978.5,40,63
4,cam_1,0,-1,2191.5,847.5,53,121
4,cam_1,0,-1,1608.0,729.5,20,43
5,cam_1,0,-1,1161.0,1589.0,102,110
5,cam_1,0,-1,1107.5,1538.5,35,53
5,cam_1,0,-1,1159.0,1510.0,26,52
5,cam_1,0,-1,2408.5,1444.0,139,110
5,cam_1,0,-1,1603.5,732.0,23,74
6,cam_1,0,-1,1157.5,1635.0,101,88
6,cam_1,0,-1,1099.0,1526.0,20,40
6,cam_1,0,-1,1203.5,1513.5,17,19
6,cam_1,0,-1,1249.5,1395.5,59,45
6,cam_1,0,-1,1206.0,1338.5,50,71
6,cam_1,0,-1,2233.5,1161.0,35,44
6,cam_1,0,-1,1555.0,645.0,76,202
7,cam_1,0,-1,1170.5,1629.0,75,48
7,cam_1,0,-1,1095.5,1531.0,29,22
7,cam_1,0,-1,1165.5,1443.5,17,17
7,cam_1,0,-1,1119.5,1444.0,39,46
7,cam_1,0,-1,1177.5,1426.0,15,20
7,cam_1,0,-1,1237.0,1366.0,78,106
7,cam_1,0,-1,2156.0,1158.0,86,72
7,cam_1,0,-1,2250.5,1066.0,39,38
7,cam_1,0,-1,1061.5,886.0,15,16
7,cam_1,0,-1,1016.5,852.0,17,28
8,cam_1,0,-1,1098.0,1544.0,38,28
8,cam_1,0,-1,1112.0,1425.5,42,63
8,cam_1,0,-1,1259.5,1404.5,37,43
8,cam_1,0,-1,1115.5,1376.5,13,15
8,cam_1,0,-1,1228.0,1337.0,20,58
8,cam_1,0,-1,2137.5,1135.5,27,47
8,cam_1,0,-1,2205.5,1134.0,39,54
8,cam_1,0,-1,2254.5,1052.0,41,72
8,cam_1,0,-1,2166.0,995.0,102,154
8,cam_1,0,-1,2209.0,847.5,24,19
8,cam_1,0,-1,1551.0,864.0,62,62
8,cam_1,0,-1,1482.0,819.0,32,64
8,cam_1,0,-1,1537.5,654.5,81,225
9,cam_1,0,-1,1098.5,1556.5,35,25
9,cam_1,0,-1,2608.5,1425.0,83,68
9,cam_1,0,-1,1118.5,1410.5,37,57
9,cam_1,0,-1,1135.5,1324.0,19,16
9,cam_1,0,-1,1163.5,1318.0,21,28
9,cam_1,0,-1,1227.5,1307.5,23,71
9,cam_1,0,-1,2251.0,1122.0,14,18
9,cam_1,0,-1,2171.5,1119.0,93,62
9,cam_1,0,-1,2199.0,1012.5,156,123
9,cam_1,0,-1,1466.5,836.5,11,17
9,cam_1,0,-1,1563.0,856.5,32,73
9,cam_1,0,-1,1478.0,803.5,24,41
9,cam_1,0,-1,1575.0,792.0,18,20
10,cam_1,0,-1,1153.0,1589.0,116,84
10,cam_1,0,-1,1216.0,1438.5,22,31
11,cam_1,0,-1,1778.0,1740.5,14,13
11,cam_1,0,-1,1138.5,1587.5,79,85
11,cam_1,0,-1,1198.5,1455.5,23,21
11,cam_1,0,-1,1083.0,1467.5,14,59
11,cam_1,0,-1,1236.0,1321.0,10,24
12,cam_1,0,-1,1192.5,1601.0,27,30
12,cam_1,0,-1,1128.5,1577.5,71,81
12,cam_1,0,-1,1083.5,1487.0,29,90
12,cam_1,0,-1,1155.0,1389.5,18,13
12,cam_1,0,-1,997.0,1367.0,86,106
12,cam_1,0,-1,2149.5,1107.5,41,63
12,cam_1,0,-1,1006.5,970.0,17,16
13,cam_1,0,-1,1151.0,1611.5,106,87
13,cam_1,0,-1,1081.5,1509.5,31,73
13,cam_1,0,-1,1196.0,1475.5,14,17
13,cam_1,0,-1,2719.5,1488.0,73,116
13,cam_1,0,-1,969.5,1358.0,99,120
13,cam_1,0,-1,2750.5,1242.5,29,25
13,cam_1,0,-1,2143.5,1095.0,17,22
14,cam_1,0,-1,1187.5,1615.5,21,29
14,cam_1,0,-1,1083.0,1524.5,42,69
14,cam_1,0,-1,1198.5,1501.0,21,50
14,cam_1,0,-1,2145.0,1097.5,34,35
14,cam_1,0,-1,2181.0,886.5,32,47
15,cam_1,0,-1,1082.5,1539.0,43,62
15,cam_1,0,-1,1195.0,1511.0,26,76
15,cam_1,0,-1,2756.5,1491.5,99,79
15,cam_1,0,-1,924.5,1381.0,17,14
15,cam_1,0,-1,861.0,1370.0,84,104
15,cam_1,0,-1,985.0,1339.5,68,91
15,cam_1,0,-1,1220.0,1225.0,14,18
15,cam_1,0,-1,2169.5,936.0,13,16
16,cam_1,0,-1,1091.0,1555.0,44,72
16,cam_1,0,-1,1198.0,1509.0,28,106
16,cam_1,0,-1,802.5,1358.5,81,125
16,cam_1,0,-1,967.0,1323.5,102,129
17,cam_1,0,-1,1196.0,1515.0,32,102
17,cam_1,0,-1,770.5,1357.5,121,119
17,cam_1,0,-1,965.5,1324.0,99,128
18,cam_1,0,-1,1190.5,1481.5,31,51
18,cam_1,0,-1,751.0,1354.0,152,114
18,cam_1,0,-1,970.5,1326.5,89,115
19,cam_1,0,-1,1192.5,1469.5,37,61
19,cam_1,0,-1,718.0,1357.5,110,99
19,cam_1,0,-1,964.5,1329.0,97,118
20,cam_1,0,-1,713.5,1359.5,103,97
21,cam_1,0,-1,711.0,1359.5,98,97
22,cam_1,0,-1,2849.0,1555.0,62,90
22,cam_1,0,-1,712.5,1354.0,103,102
23,cam_1,0,-1,1155.5,1634.5,29,25
23,cam_1,0,-1,2834.5,1574.5,43,147
23,cam_1,0,-1,731.5,1354.5,59,85
23,cam_1,0,-1,852.0,1308.5,88,113
30,cam_1,0,-1,2853.5,1601.5,45,67
30,cam_1,0,-1,2821.5,1538.0,45,56
30,cam_1,0,-1,2872.5,1446.5,133,101
30,cam_1,0,-1,709.5,1361.0,101,94
30,cam_1,0,-1,2623.5,1198.5,75,79
31,cam_1,0,-1,708.0,1360.5,96,95
31,cam_1,0,-1,2524.0,1215.5,72,79
32,cam_1,0,-1,699.5,1356.0,81,110
32,cam_1,0,-1,2423.0,1237.5,80,75
33,cam_1,0,-1,1062.5,1511.5,13,17
33,cam_1,0,-1,2826.5,1564.0,95,150
33,cam_1,0,-1,697.5,1348.5,85,115
33,cam_1,0,-1,2325.5,1262.5,75,83
34,cam_1,0,-1,2606.0,1738.5,16,11
34,cam_1,0,-1,1047.5,1521.5,23,31
34,cam_1,0,-1,2927.0,1428.0,12,22
34,cam_1,0,-1,644.0,1329.0,68,94
34,cam_1,0,-1,2218.5,1292.0,61,70
35,cam_1,0,-1,1030.5,1505.5,17,41
35,cam_1,0,-1,2116.0,1337.0,74,82
35,cam_1,0,-1,595.5,1315.0,57,90
36,cam_1,0,-1,2010.5,1382.0,79,74
36,cam_1,0,-1,546.5,1302.0,63,70
36,cam_1,0,-1,2279.5,923.5,21,25
