frame,cam_id,class_id,object_id,u,v,w,h
1,cam_2,0,-1,3827.27,758.25,11.00,16.50
2,cam_2,0,-1,736.71,1231.57,13.75,13.75
3,cam_2,0,-1,3827.27,758.24,11.00,16.50
4,cam_2,0,-1,3827.27,758.25,11.00,16.50
5,cam_2,0,-1,3827.28,758.25,11.00,16.50
6,cam_2,0,-1,3827.26,758.28,11.00,16.50
7,cam_2,0,-1,3827.50,759.04,11.00,13.75
8,cam_2,0,-1,3827.52,759.04,11.00,13.75
9,cam_2,0,-1,3827.52,759.03,11.00,13.75
10,cam_2,0,-1,3827.52,759.03,11.00,13.75
11,cam_2,0,-1,3827.45,758.61,11.00,16.50
12,cam_2,0,-1,3827.46,758.60,11.00,16.50
13,cam_2,0,-1,3827.46,758.60,11.00,16.50
14,cam_2,0,-1,3827.30,758.36,11.00,16.50
15,cam_2,0,-1,3827.30,758.35,11.00,16.50
16,cam_2,0,-1,3827.30,758.35,11.00,16.50
17,cam_2,0,-1,3827.29,758.35,11.00,16.50
18,cam_2,0,-1,3827.29,758.35,11.00,16.50
19,cam_2,0,-1,3827.30,758.36,11.00,16.50
20,cam_2,0,-1,3827.49,758.65,11.00,16.50
21,cam_2,0,-1,948.31,1220.67,16.50,19.25
22,cam_2,0,-1,3827.49,758.65,11.00,16.50
23,cam_2,0,-1,3827.67,758.56,11.00,19.25
24,cam_2,0,-1,3827.87,758.39,11.00,22.00
25,cam_2,0,-1,1483.75,1255.09,16.50,19.25
26,cam_2,0,-1,3828.01,758.83,11.00,19.25
27,cam_2,0,-1,3828.02,758.83,11.00,19.25
28,cam_2,0,-1,3828.03,758.88,11.00,19.25
29,cam_2,0,-1,3828.03,758.87,11.00,19.25
30,cam_2,0,-1,3828.03,758.86,11.00,19.25
31,cam_2,0,-1,3828.20,758.78,11.00,13.75
32,cam_2,0,-1,3828.47,758.86,11.00,11.00
33,cam_2,0,-1,1088.51,1228.80,13.75,8.25
34,cam_2,0,-1,595.25,1077.28,13.75,13.75
35,cam_2,0,-1,616.75,1083.26,16.50,19.25
36,cam_2,0,-1,637.18,1095.33,13.75,16.50
37,cam_2,0,-1,3828.55,759.67,11.00,13.75
38,cam_2,0,-1,3828.03,759.95,11.00,13.75
39,cam_2,0,-1,3828.55,759.67,11.00,13.75
40,cam_2,0,-1,723.06,1124.21,13.75,13.75
41,cam_2,0,-1,731.08,1107.75,13.75,16.50
42,cam_2,0,-1,3828.55,759.67,11.00,13.75
43,cam_2,0,-1,3828.56,759.67,11.00,13.75
44,cam_2,0,-1,1252.59,1198.73,13.75,13.75
45,cam_2,0,-1,3829.39,759.45,8.25,11.00
46,cam_2,0,-1,777.94,1044.34,13.75,13.75
47,cam_2,0,-1,1241.31,1262.61,22.00,24.75
