frame,cam_id,class_id,object_id,u,v,w,h
2,cam_1,0,-1,2442.20,1330.09,30.00,30.00
8,cam_1,0,-1,2689.32,1603.01,15.00,30.00
9,cam_1,0,-1,2761.90,1364.08,45.00,37.50
10,cam_1,0,-1,2822.93,1359.67,15.00,30.00
12,cam_1,0,-1,2880.74,1328.71,52.50,52.50
13,cam_1,0,-1,2907.89,1320.65,45.00,45.00
14,cam_1,0,-1,2938.63,1318.36,52.50,52.50
22,cam_1,0,-1,3004.92,1247.20,37.50,22.50
23,cam_1,0,-1,3012.30,1224.91,15.00,15.00
24,cam_1,0,-1,2987.40,1209.47,30.00,37.50
27,cam_1,0,-1,2853.68,1162.50,15.00,7.50
28,cam_1,0,-1,2786.28,1166.28,15.00,15.00
29,cam_1,0,-1,2709.57,1198.38,52.50,60.00
30,cam_1,0,-1,2604.92,1206.43,60.00,52.50
31,cam_1,0,-1,2504.94,1218.59,67.50,75.00
32,cam_1,0,-1,2404.91,1240.83,60.00,60.00
33,cam_1,0,-1,2305.58,1266.44,75.00,90.00
34,cam_1,0,-1,2237.32,1289.41,247.50,165.00
35,cam_1,0,-1,2134.46,1326.96,300.00,150.00
36,cam_1,0,-1,2021.56,1377.68,360.00,180.00
37,cam_1,0,-1,1921.25,1424.54,300.00,150.00
38,cam_1,0,-1,1810.06,1481.79,307.50,210.00
39,cam_1,0,-1,1701.50,1539.90,292.50,202.50
40,cam_1,0,-1,1601.20,1603.30,67.50,97.50
41,cam_1,0,-1,1551.23,1550.57,67.50,52.50
42,cam_1,0,-1,1532.89,1494.40,97.50,67.50
43,cam_1,0,-1,1481.29,1449.91,90.00,105.00
44,cam_1,0,-1,1424.56,1397.40,90.00,45.00
45,cam_1,0,-1,1378.37,1352.35,52.50,60.00
46,cam_1,0,-1,1317.44,1324.41,22.50,30.00
47,cam_1,0,-1,1297.52,1300.83,75.00,52.50
48,cam_1,0,-1,1246.40,1271.60,67.50,82.50
49,cam_1,0,-1,1193.72,1252.75,37.50,37.50
50,cam_1,0,-1,1140.86,1233.58,37.50,45.00
51,cam_1,0,-1,75.00,757.50,7.50,7.50
53,cam_1,0,-1,997.40,1238.85,30.00,30.00
54,cam_1,0,-1,950.14,1247.00,45.00,45.00
56,cam_1,0,-1,848.92,1296.08,60.00,52.50
57,cam_1,0,-1,832.87,1362.23,67.50,60.00
58,cam_1,0,-1,813.91,1426.71,75.00,52.50
59,cam_1,0,-1,776.09,1490.08,60.00,75.00
60,cam_1,0,-1,755.19,1424.06,157.50,240.00
61,cam_1,0,-1,722.20,1330.04,150.00,330.00
62,cam_1,0,-1,702.10,1263.54,172.50,240.00
63,cam_1,0,-1,689.69,1201.74,90.00,52.50
64,cam_1,0,-1,644.49,1149.89,22.50,30.00
65,cam_1,0,-1,645.96,1110.94,22.50,22.50
68,cam_1,0,-1,104.94,1323.61,22.50,15.00
71,cam_1,0,-1,1845.00,997.50,7.50,7.50
72,cam_1,0,-1,1845.32,1046.04,22.50,30.00
73,cam_1,0,-1,60.00,1361.20,7.50,15.00
81,cam_1,0,-1,1552.50,922.50,7.50,7.50
90,cam_1,0,-1,1326.60,825.98,22.50,22.50
94,cam_1,0,-1,64.39,1000.22,22.50,30.00
137,cam_1,0,-1,82.50,243.74,7.50,15.00
418,cam_1,0,-1,63.71,1818.75,15.00,15.00
436,cam_1,0,-1,522.15,1756.74,30.00,37.50
441,cam_1,0,-1,1151.25,783.75,15.00,15.00
446,cam_1,0,-1,1578.94,712.50,15.00,7.50
447,cam_1,0,-1,1611.36,779.07,30.00,37.50
448,cam_1,0,-1,1656.68,852.44,52.50,67.50
449,cam_1,0,-1,1731.75,946.12,45.00,37.50
450,cam_1,0,-1,1777.91,998.75,60.00,60.00
451,cam_1,0,-1,1830.79,957.13,52.50,60.00
452,cam_1,0,-1,1851.79,923.69,52.50,60.00
453,cam_1,0,-1,1894.78,899.79,52.50,45.00
454,cam_1,0,-1,1864.92,989.17,22.50,37.50
455,cam_1,0,-1,1966.88,879.52,22.50,30.00
456,cam_1,0,-1,1984.80,887.07,45.00,45.00
457,cam_1,0,-1,2014.65,901.79,45.00,45.00
459,cam_1,0,-1,2085.56,942.10,45.00,45.00
460,cam_1,0,-1,2117.01,948.56,45.00,45.00
461,cam_1,0,-1,2131.17,942.83,52.50,52.50
462,cam_1,0,-1,2104.87,890.43,75.00,67.50
463,cam_1,0,-1,2092.52,848.15,75.00,67.50
464,cam_1,0,-1,2061.27,818.22,262.50,300.00
465,cam_1,0,-1,2012.52,782.66,315.00,217.50
466,cam_1,0,-1,1943.29,757.99,277.50,157.50
467,cam_1,0,-1,1851.14,731.81,52.50,60.00
468,cam_1,0,-1,1772.07,722.93,45.00,45.00
469,cam_1,0,-1,1682.17,710.05,75.00,67.50
470,cam_1,0,-1,653.29,1568.19,30.00,30.00
