frame,cam_id,class_id,object_id,u,v,w,h
0,cam_0,0,1,2664.0,196.54411764705884,164.0,357.3529411764706
0,cam_0,0,2,3764.0,474.4852941176471,126.0,401.0294117647059
0,cam_0,0,3,3786.0,180.66176470588235,94.0,268.0147058823529
0,cam_0,0,4,3300.0,214.41176470588235,112.0,319.63235294117646
1,cam_0,0,1,2658.0,198.52941176470588,166.0,359.3382352941177
1,cam_0,0,2,3768.0,474.4852941176471,118.0,403.0147058823529
1,cam_0,0,3,3782.0,182.64705882352942,94.0,270.0
1,cam_0,0,4,3300.0,220.36764705882354,116.0,319.63235294117646
2,cam_0,0,1,2652.0,202.5,166.0,363.30882352941177
2,cam_0,0,2,3770.0,474.4852941176471,112.0,405.0
2,cam_0,0,3,3778.0,182.64705882352942,92.0,270.0
2,cam_0,0,4,3300.0,224.33823529411765,116.0,323.6029411764706
3,cam_0,0,1,2644.0,204.48529411764707,170.0,363.30882352941177
3,cam_0,0,2,3770.0,474.4852941176471,108.0,406.9852941176471
3,cam_0,0,3,3776.0,188.60294117647058,98.0,279.9264705882353
3,cam_0,0,4,3298.0,226.32352941176472,116.0,319.63235294117646
4,cam_0,0,1,2636.0,208.4558823529412,172.0,365.29411764705884
4,cam_0,0,2,3764.0,474.4852941176471,110.0,406.9852941176471
4,cam_0,0,3,3770.0,204.48529411764707,102.0,307.72058823529414
4,cam_0,0,4,3294.0,230.29411764705884,110.0,315.6617647058824
5,cam_0,0,1,2632.0,210.44117647058823,170.0,359.3382352941177
5,cam_0,0,2,3760.0,476.47058823529414,120.0,406.9852941176471
5,cam_0,0,4,3292.0,230.29411764705884,106.0,313.6764705882353
6,cam_0,0,1,2630.0,210.44117647058823,160.0,357.3529411764706
6,cam_0,0,2,3754.0,480.44117647058823,124.0,406.9852941176471
6,cam_0,0,4,3288.0,232.27941176470588,104.0,311.69117647058823
6,cam_0,0,3,3754.0,208.4558823529412,114.0,311.69117647058823
7,cam_0,0,1,2620.0,216.39705882352942,166.0,353.38235294117646
7,cam_0,0,2,3750.0,482.4264705882353,134.0,406.9852941176471
7,cam_0,0,4,3288.0,230.29411764705884,102.0,309.70588235294116
7,cam_0,0,3,3750.0,206.47058823529412,102.0,309.70588235294116
8,cam_0,0,1,2610.0,218.38235294117646,166.0,353.38235294117646
8,cam_0,0,2,3742.0,486.39705882352945,140.0,406.9852941176471
8,cam_0,0,4,3286.0,234.26470588235296,100.0,319.63235294117646
8,cam_0,0,3,3746.0,208.4558823529412,96.0,311.69117647058823
9,cam_0,0,1,2606.0,218.38235294117646,164.0,355.36764705882354
9,cam_0,0,2,3732.0,490.36764705882354,140.0,408.97058823529414
9,cam_0,0,4,3286.0,238.23529411764707,96.0,331.54411764705884
9,cam_0,0,3,3740.0,208.4558823529412,88.0,313.6764705882353
10,cam_0,0,1,2600.0,220.36764705882354,152.0,353.38235294117646
10,cam_0,0,2,3724.0,494.3382352941177,138.0,408.97058823529414
10,cam_0,0,4,3284.0,240.22058823529412,98.0,339.4852941176471
10,cam_0,0,3,3734.0,200.51470588235296,84.0,301.7647058823529
11,cam_0,0,1,2592.0,220.36764705882354,138.0,355.36764705882354
11,cam_0,0,2,3722.0,496.3235294117647,134.0,406.9852941176471
11,cam_0,0,4,3282.0,242.2058823529412,100.0,345.44117647058823
11,cam_0,0,3,3722.0,198.52941176470588,68.0,303.75
12,cam_0,0,1,2584.0,220.36764705882354,126.0,361.3235294117647
12,cam_0,0,2,3722.0,496.3235294117647,134.0,405.0
12,cam_0,0,4,3282.0,246.1764705882353,102.0,349.4117647058824
12,cam_0,0,3,3714.0,194.55882352941177,64.0,301.7647058823529
13,cam_0,0,1,2574.0,218.38235294117646,120.0,361.3235294117647
13,cam_0,0,2,3720.0,498.30882352941177,136.0,403.0147058823529
13,cam_0,0,4,3284.0,248.16176470588235,108.0,349.4117647058824
13,cam_0,0,3,3700.0,200.51470588235296,66.0,317.6470588235294
14,cam_0,0,1,2568.0,218.38235294117646,112.0,365.29411764705884
14,cam_0,0,2,3720.0,498.30882352941177,134.0,403.0147058823529
14,cam_0,0,4,3286.0,254.11764705882354,114.0,335.5147058823529
14,cam_0,0,3,3684.0,202.5,84.0,319.63235294117646
15,cam_0,0,1,2558.0,218.38235294117646,112.0,365.29411764705884
15,cam_0,0,2,3716.0,496.3235294117647,130.0,405.0
15,cam_0,0,4,3284.0,258.0882352941177,110.0,327.5735294117647
15,cam_0,0,3,3672.0,204.48529411764707,104.0,317.6470588235294
16,cam_0,0,1,2540.0,220.36764705882354,130.0,365.29411764705884
16,cam_0,0,2,3710.0,496.3235294117647,122.0,406.9852941176471
16,cam_0,0,4,3286.0,260.0735294117647,116.0,323.6029411764706
16,cam_0,0,3,3658.0,206.47058823529412,124.0,307.72058823529414
16,cam_0,0,5,3804.0,210.44117647058823,60.0,301.7647058823529
17,cam_0,0,1,2522.0,220.36764705882354,154.0,363.30882352941177
17,cam_0,0,2,3706.0,496.3235294117647,124.0,410.95588235294116
17,cam_0,0,4,3282.0,260.0735294117647,116.0,321.61764705882354
17,cam_0,0,3,3648.0,204.48529411764707,138.0,297.79411764705884
17,cam_0,0,5,3802.0,214.41176470588235,70.0,317.6470588235294
18,cam_0,0,1,2508.0,224.33823529411765,166.0,361.3235294117647
18,cam_0,0,2,3696.0,496.3235294117647,132.0,412.94117647058823
18,cam_0,0,4,3278.0,262.05882352941177,116.0,331.54411764705884
18,cam_0,0,3,3634.0,204.48529411764707,148.0,293.8235294117647
18,cam_0,0,5,3800.0,216.39705882352942,74.0,315.6617647058824
