cam_name,object_id,global_id
out2,4,0
out4,77,0
out13,127,0
out2,15,1
out4,71,1
out13,129,1
out2,20,2
out4,74,2
out13,130,2
out2,24,3
out4,75,3
out13,131,3
out2,18,4
out13,132,4
out13,136,5
out4,73,6
out13,137,6
out2,2,7
out4,86,7
out13,138,7
out2,16,8
out4,81,8
out13,139,8
out2,10,9
out4,76,9
out13,140,9
out4,72,10
out13,141,10
out2,12,11
out13,146,11
out2,14,12
out4,116,12
out13,158,12
out2,19,13
out13,159,13
out2,35,14
out13,168,14
out4,94,15
out13,171,15
out2,47,16
out13,172,16
out2,54,17
out4,91,17
out13,179,17
out2,58,18
out13,184,18
out2,57,19
out13,185,19
out4,96,20
out13,187,20
out4,103,21
out13,191,21
out4,118,22
out13,192,22
out4,110,23
out13,196,23
out2,1,24
out4,78,24
out2,51,25
out4,95,25
out2,66,26
out4,93,26
